month,cpi
1913-01,34.2
1913-02,34.1
1913-03,34.1
1913-04,34.2
1913-05,34.0
1913-06,34.1
1913-07,34.4
1913-08,34.6
1913-09,34.8
1913-10,35.0
1913-11,35.1
1913-12,35.0
1914-01,35.0
1914-02,34.6
1914-03,34.5
1914-04,34.2
1914-05,34.4
1914-06,34.6
1914-07,35.0
1914-08,35.5
1914-09,35.6
1914-10,35.4
1914-11,35.5
1914-12,35.4
1915-01,35.2
1915-02,35.0
1915-03,34.7
1915-04,35.0
1915-05,35.1
1915-06,35.2
1915-07,35.2
1915-08,35.2
1915-09,35.4
1915-10,35.7
1915-11,35.9
1915-12,36.1
1916-01,36.4
1916-02,36.4
1916-03,36.7
1916-04,37.1
1916-05,37.2
1916-06,37.7
1916-07,37.7
1916-08,38.1
1916-09,38.8
1916-10,39.3
1916-11,40.0
1916-12,40.2
1917-01,40.7
1917-02,41.6
1917-03,41.9
1917-04,43.7
1917-05,44.7
1917-06,45.1
1917-07,44.7
1917-08,45.4
1917-09,46.2
1917-10,47.0
1917-11,47.1
1917-12,47.7
1918-01,48.6
1918-02,49.1
1918-03,48.9
1918-04,49.4
1918-05,50.4
1918-06,51.3
1918-07,52.6
1918-08,53.5
1918-09,54.8
1918-10,55.7
1918-11,56.6
1918-12,57.5
1919-01,57.6
1919-02,56.3
1919-03,57.0
1919-04,58.0
1919-05,58.8
1919-06,59.0
1919-07,60.6
1919-08,61.6
1919-09,62.0
1919-10,63.0
1919-11,64.5
1919-12,65.9
1920-01,67.2
1920-02,68.0
1920-03,68.7
1920-04,70.7
1920-05,71.9
1920-06,72.9
1920-07,72.5
1920-08,70.6
1920-09,69.8
1920-10,69.4
1920-11,69.0
1920-12,67.4
1921-01,66.3
1921-02,64.2
1921-03,63.7
1921-04,62.9
1921-05,61.7
1921-06,61.4
1921-07,61.5
1921-08,61.7
1921-09,61.0
1921-10,60.9
1921-11,60.6
1921-12,60.2
1922-01,59.0
1922-02,58.8
1922-03,58.2
1922-04,58.1
1922-05,58.1
1922-06,58.3
1922-07,58.4
1922-08,57.8
1922-09,57.9
1922-10,58.3
1922-11,58.5
1922-12,58.7
1923-01,58.5
1923-02,58.4
1923-03,58.6
1923-04,58.9
1923-05,59.0
1923-06,59.3
1923-07,59.9
1923-08,59.7
1923-09,60.0
1923-10,60.1
1923-11,60.3
1923-12,60.2
1924-01,60.1
1924-02,59.9
1924-03,59.5
1924-04,59.3
1924-05,59.3
1924-06,59.3
1924-07,59.4
1924-08,59.3
1924-09,59.6
1924-10,59.8
1924-11,60.0
1924-12,60.1
1925-01,60.3
1925-02,60.0
1925-03,60.1
1925-04,60.0
1925-05,60.2
1925-06,60.9
1925-07,61.7
1925-08,61.7
1925-09,61.5
1925-10,61.8
1925-11,62.8
1925-12,62.5
1926-01,62.5
1926-02,62.2
1926-03,61.9
1926-04,62.4
1926-05,62.1
1926-06,61.6
1926-07,61.0
1926-08,60.7
1926-09,61.1
1926-10,61.3
1926-11,61.5
1926-12,61.5
1927-01,61.0
1927-02,60.6
1927-03,60.2
1927-04,60.2
1927-05,60.7
1927-06,61.3
1927-07,60.1
1927-08,59.8
1927-09,60.1
1927-10,60.5
1927-11,60.4
1927-12,60.3
1928-01,60.1
1928-02,59.6
1928-03,59.6
1928-04,59.7
1928-05,60.0
1928-06,59.5
1928-07,59.5
1928-08,59.7
1928-09,60.1
1928-10,60.0
1928-11,59.9
1928-12,59.7
1929-01,59.5
1929-02,59.4
1929-03,59.2
1929-04,59.0
1929-05,59.3
1929-06,59.5
1929-07,60.1
1929-08,60.4
1929-09,60.3
1929-10,60.3
1929-11,60.1
1929-12,59.8
1930-01,59.6
1930-02,59.3
1930-03,59.0
1930-04,59.3
1930-05,59.0
1930-06,58.6
1930-07,57.8
1930-08,57.5
1930-09,57.8
1930-10,57.5
1930-11,57.0
1930-12,56.2
1931-01,55.4
1931-02,54.6
1931-03,54.2
1931-04,53.8
1931-05,53.3
1931-06,52.7
1931-07,52.6
1931-08,52.5
1931-09,52.2
1931-10,51.9
1931-11,51.3
1931-12,50.8
1932-01,49.8
1932-02,49.1
1932-03,48.8
1932-04,48.5
1932-05,47.8
1932-06,47.5
1932-07,47.4
1932-08,46.9
1932-09,46.6
1932-10,46.3
1932-11,46.0
1932-12,45.6
1933-01,44.9
1933-02,44.2
1933-03,43.8
1933-04,43.7
1933-05,43.9
1933-06,44.3
1933-07,45.6
1933-08,46.0
1933-09,46.0
1933-10,46.0
1933-11,46.0
1933-12,45.8
1934-01,46.0
1934-02,46.4
1934-03,46.4
1934-04,46.3
1934-05,46.4
1934-06,46.5
1934-07,46.5
1934-08,46.6
1934-09,47.3
1934-10,47.0
1934-11,46.9
1934-12,46.8
1935-01,47.4
1935-02,47.8
1935-03,47.7
1935-04,48.1
1935-05,47.9
1935-06,47.8
1935-07,47.6
1935-08,47.6
1935-09,47.8
1935-10,47.8
1935-11,48.0
1935-12,48.2
1936-01,48.2
1936-02,47.9
1936-03,47.7
1936-04,47.7
1936-05,47.7
1936-06,48.2
1936-07,48.4
1936-08,48.7
1936-09,48.9
1936-10,48.7
1936-11,48.7
1936-12,48.7
1937-01,49.1
1937-02,49.2
1937-03,49.6
1937-04,49.8
1937-05,50.0
1937-06,50.1
1937-07,50.3
1937-08,50.5
1937-09,50.9
1937-10,50.7
1937-11,50.4
1937-12,50.2
1938-01,49.6
1938-02,49.1
1938-03,49.1
1938-04,49.3
1938-05,49.1
1938-06,49.1
1938-07,49.2
1938-08,49.1
1938-09,49.1
1938-10,48.9
1938-11,48.7
1938-12,48.8
1939-01,48.6
1939-02,48.4
1939-03,48.3
1939-04,48.2
1939-05,48.2
1939-06,48.1
1939-07,48.2
1939-08,48.1
1939-09,49.1
1939-10,48.9
1939-11,48.8
1939-12,48.6
1940-01,48.5
1940-02,48.8
1940-03,48.7
1940-04,48.7
1940-05,48.8
1940-06,49.0
1940-07,48.9
1940-08,48.7
1940-09,48.9
1940-10,48.8
1940-11,48.8
1940-12,49.1
1941-01,49.1
1941-02,49.1
1941-03,49.3
1941-04,49.8
1941-05,50.1
1941-06,51.0
1941-07,51.3
1941-08,51.8
1941-09,52.7
1941-10,53.3
1941-11,53.7
1941-12,53.9
1942-01,54.6
1942-02,55.0
1942-03,55.7
1942-04,56.1
1942-05,56.6
1942-06,56.7
1942-07,57.0
1942-08,57.3
1942-09,57.5
1942-10,58.0
1942-11,58.4
1942-12,58.8
1943-01,58.8
1943-02,59.0
1943-03,59.9
1943-04,60.6
1943-05,61.0
1943-06,60.9
1943-07,60.5
1943-08,60.2
1943-09,60.5
1943-10,60.7
1943-11,60.6
1943-12,60.7
1944-01,60.6
1944-02,60.5
1944-03,60.5
1944-04,60.8
1944-05,61.0
1944-06,61.2
1944-07,61.5
1944-08,61.7
1944-09,61.8
1944-10,61.8
1944-11,61.8
1944-12,62.0
1945-01,62.0
1945-02,61.9
1945-03,61.9
1945-04,62.0
1945-05,62.5
1945-06,63.0
1945-07,63.2
1945-08,63.2
1945-09,62.9
1945-10,62.9
1945-11,63.2
1945-12,63.4
1946-01,63.4
1946-02,63.2
1946-03,63.6
1946-04,64.0
1946-05,64.3
1946-06,65.0
1946-07,68.9
1946-08,70.4
1946-09,71.2
1946-10,72.6
1946-11,74.3
1946-12,74.9
1947-01,74.9
1947-02,74.8
1947-03,76.4
1947-04,76.4
1947-05,76.2
1947-06,76.8
1947-07,77.4
1947-08,78.3
1947-09,80.1
1947-10,80.1
1947-11,80.6
1947-12,81.7
1948-01,82.6
1948-02,81.9
1948-03,81.7
1948-04,82.8
1948-05,83.4
1948-06,84.0
1948-07,85.0
1948-08,85.4
1948-09,85.4
1948-10,85.0
1948-11,84.4
1948-12,83.9
1949-01,83.7
1949-02,82.8
1949-03,83.0
1949-04,83.2
1949-05,83.0
1949-06,83.1
1949-07,82.6
1949-08,82.8
1949-09,83.2
1949-10,82.7
1949-11,82.8
1949-12,82.3
1950-01,82.0
1950-02,81.8
1950-03,82.1
1950-04,82.2
1950-05,82.6
1950-06,83.0
1950-07,83.9
1950-08,84.5
1950-09,85.1
1950-10,85.6
1950-11,86.0
1950-12,87.1
1951-01,88.5
1951-02,89.6
1951-03,89.9
1951-04,90.0
1951-05,90.4
1951-06,90.3
1951-07,90.4
1951-08,90.4
1951-09,91.0
1951-10,91.4
1951-11,91.9
1951-12,92.2
1952-01,92.2
1952-02,91.6
1952-03,91.6
1952-04,92.0
1952-05,92.1
1952-06,92.4
1952-07,93.0
1952-08,93.2
1952-09,93.0
1952-10,93.1
1952-11,93.2
1952-12,93.0
1953-01,92.8
1953-02,92.4
1953-03,92.6
1953-04,92.7
1953-05,92.9
1953-06,93.3
1953-07,93.5
1953-08,93.7
1953-09,93.9
1953-10,94.1
1953-11,93.7
1953-12,93.6
1954-01,93.9
1954-02,93.7
1954-03,93.6
1954-04,93.4
1954-05,93.7
1954-06,93.8
1954-07,93.9
1954-08,93.7
1954-09,93.5
1954-10,93.3
1954-11,93.4
1954-12,93.2
1955-01,93.2
1955-02,93.2
1955-03,93.2
1955-04,93.1
1955-05,93.1
1955-06,93.2
1955-07,93.5
1955-08,93.3
1955-09,93.6
1955-10,93.6
1955-11,93.7
1955-12,93.5
1956-01,93.4
1956-02,93.4
1956-03,93.5
1956-04,93.6
1956-05,94.1
1956-06,94.7
1956-07,95.4
1956-08,95.2
1956-09,95.4
1956-10,95.9
1956-11,96.0
1956-12,96.2
1957-01,93.6
1957-02,96.7
1957-03,96.9
1957-04,97.2
1957-05,97.5
1957-06,98.0
1957-07,98.5
1957-08,98.6
1957-09,98.7
1957-10,98.7
1957-11,99.1
1957-12,99.1
1958-01,99.7
1958-02,99.8
1958-03,100.5
1958-04,100.7
1958-05,100.7
1958-06,100.8
1958-07,101.0
1958-08,100.8
1958-09,100.8
1958-10,100.8
1958-11,101.0
1958-12,100.8
1959-01,100.9
1959-02,100.8
1959-03,100.8
1959-04,101.0
1959-05,101.1
1959-06,101.5
1959-07,101.8
1959-08,101.7
1959-09,102.0
1959-10,102.3
1959-11,102.4
1959-12,102.3
1960-01,102.2
1960-02,102.4
1960-03,102.4
1960-04,102.9
1960-05,102.9
1960-06,103.1
1960-07,103.2
1960-08,103.2
1960-09,103.3
1960-10,103.7
1960-11,103.8
1960-12,103.9
1961-01,103.8
1961-02,103.9
1961-03,103.9
1961-04,103.9
1961-05,103.8
1961-06,104.0
1961-07,104.4
1961-08,104.3
1961-09,104.6
1961-10,104.6
1961-11,104.6
1961-12,104.5
1962-01,104.5
1962-02,104.8
1962-03,105.0
1962-04,105.2
1962-05,105.2
1962-06,105.3
1962-07,105.5
1962-08,105.5
1962-09,106.1
1962-10,106.0
1962-11,106.0
1962-12,105.8
1963-01,106.0
1963-02,106.1
1963-03,106.2
1963-04,106.2
1963-05,106.2
1963-06,106.6
1963-07,107.1
1963-08,107.1
1963-09,107.1
1963-10,107.2
1963-11,107.4
1963-12,107.6
1964-01,107.7
1964-02,107.6
1964-03,107.7
1964-04,107.8
1964-05,107.8
1964-06,108.0
1964-07,108.3
1964-08,108.2
1964-09,108.4
1964-10,108.5
1964-11,108.7
1964-12,108.8
1965-01,108.9
1965-02,108.9
1965-03,109.0
1965-04,109.3
1965-05,109.6
1965-06,110.1
1965-07,110.2
1965-08,110.0
1965-09,110.2
1965-10,110.4
1965-11,110.6
1965-12,110.0
1966-01,111.0
1966-02,111.6
1966-03,112.0
1966-04,112.5
1966-05,112.6
1966-06,112.9
1966-07,113.3
1966-08,113.8
1966-09,114.1
1966-10,114.5
1966-11,114.6
1966-12,114.7
1967-01,114.7
1967-02,114.8
1967-03,115.0
1967-04,115.3
1967-05,115.6
1967-06,116.0
1967-07,116.5
1967-08,116.9
1967-09,117.1
1967-10,117.5
1967-11,117.8
1967-12,118.2
1968-01,118.6
1968-02,119.0
1968-03,119.5
1968-04,119.9
1968-05,120.3
1968-06,120.9
1968-07,121.5
1968-08,121.9
1968-09,122.2
1968-10,122.9
1968-11,123.4
1968-12,123.7
1969-01,124.1
1969-02,124.6
1969-03,125.6
1969-04,126.4
1969-05,126.8
1969-06,127.6
1969-07,128.2
1969-08,128.7
1969-09,129.3
1969-10,129.8
1969-11,130.5
1969-12,131.3
1970-01,131.8
1970-02,132.5
1970-03,133.2
1970-04,134.13453687312133
1970-05,134.48293826759698
1970-06,135.17974105654824
1970-07,135.87654384549953
1970-08,135.87654384549953
1970-09,136.57334663445081
1970-10,137.27014942340207
1970-11,137.96695221235336
1970-12,138.66375500130462
1971-01,138.66375500130462
1971-02,139.01215639578027
1971-03,139.3605577902559
1971-04,139.70895918473155
1971-05,140.40576197368284
1971-06,141.45096615710978
1971-07,141.79936755158542
1971-08,142.14776894606103
1971-09,142.14776894606103
1971-10,142.49617034053668
1971-11,142.49617034053668
1971-12,143.19297312948797
1972-01,143.19297312948797
1972-02,143.88977591843923
1972-03,144.23817731291487
1972-04,144.58657870739052
1972-05,144.93498010186616
1972-06,145.2833814963418
1972-07,145.98018428529306
1972-08,146.3285856797687
1972-09,146.67698707424435
1972-10,147.37378986319564
1972-11,147.72219125767128
1972-12,148.07059265214693
1973-01,148.41899404662257
1973-02,149.46419823004948
1973-03,150.85780380795202
1973-04,151.90300799137896
1973-05,152.94821217480586
