country,year,equity_nominal,instrument,kind
Australia,2021,0.09444511944421285,^AXJT,TR
Australia,2022,0.12205298928074404,^AXJT,TR
Australia,2023,0.07086884665196269,^AXJT,TR
Australia,2024,0.15169838092992216,^AXJT,TR
Australia,2025,0.07369703927450155,^AXJT,TR
Belgium,2021,0.14516732423886736,BEL.BR,tracker
Belgium,2022,-0.04498804622194563,BEL.BR,tracker
Belgium,2023,-0.02959988715667905,BEL.BR,tracker
Belgium,2024,0.19586767346013256,BEL.BR,tracker
Belgium,2025,0.2661292205959067,BEL.BR,tracker
Denmark,2021,0.186030470745987,NASDAQOMXC25GI,TR
Denmark,2022,-0.11538318383146617,NASDAQOMXC25GI,TR
Denmark,2023,0.09625215635124329,NASDAQOMXC25GI,TR
Denmark,2024,-0.006280075034662658,NASDAQOMXC25GI,TR
Denmark,2025,0.05134506199065303,NASDAQOMXC25GI,TR
Finland,2021,0.22452592764158563,^OMXHGI,TR
Finland,2022,-0.12125495998882607,^OMXHGI,TR
Finland,2023,-0.018154037901498055,^OMXHGI,TR
Finland,2024,-0.016219651802481416,^OMXHGI,TR
Finland,2025,0.3638134698053175,^OMXHGI,TR
France,2021,0.3257363380313234,CAC.PA,tracker
France,2022,0.04143703714377356,CAC.PA,tracker
France,2023,0.11395649691920173,CAC.PA,tracker
France,2024,0.06429972732320821,CAC.PA,tracker
France,2025,0.055588789040877495,CAC.PA,tracker
Germany,2021,0.15174196283763175,^GDAXI,TR
Germany,2022,-0.022165744075007265,^GDAXI,TR
Germany,2023,0.11736241416821835,^GDAXI,TR
Germany,2024,0.28563414782098806,^GDAXI,TR
Germany,2025,0.12915300971257704,^GDAXI,TR
Italy,2021,0.27948500995512693,ETFMIB.MI,tracker
Italy,2022,0.03373741937874608,ETFMIB.MI,tracker
Italy,2023,0.20895970014016707,ETFMIB.MI,tracker
Italy,2024,0.245823234117857,ETFMIB.MI,tracker
Italy,2025,0.3076331904282239,ETFMIB.MI,tracker
Japan,2021,-0.023909222308138522,^N225,approx
Japan,2022,0.012040928132152295,^N225,approx
Japan,2023,0.32786495781718594,^N225,approx
Japan,2024,0.09055043179331967,^N225,approx
Japan,2025,0.34747279937322295,^N225,approx
Netherlands,2021,0.20457172659597833,IAEX.AS,tracker
Netherlands,2022,0.007386189006773902,IAEX.AS,tracker
Netherlands,2023,0.12274321530647359,IAEX.AS,tracker
Netherlands,2024,0.15158593574912782,IAEX.AS,tracker
Netherlands,2025,0.11066270041725601,IAEX.AS,tracker
Norway,2021,0.2150790730029435,OSEBX.OL,TR
Norway,2022,0.01751694356032485,OSEBX.OL,TR
Norway,2023,0.06933012860965393,OSEBX.OL,TR
Norway,2024,0.1855091249548677,OSEBX.OL,TR
Norway,2025,0.16161432849324453,OSEBX.OL,TR
Portugal,2021,0.13700914916813378,PSI20.LS,prix
Portugal,2022,0.02812289178913918,PSI20.LS,prix
Portugal,2023,0.11707252099479559,PSI20.LS,prix
Portugal,2024,-0.003004811224679438,PSI20.LS,prix
Portugal,2025,0.29579955879610087,PSI20.LS,prix
Spain,2021,0.1328756745385773,BBVAI.MC,tracker
Spain,2022,0.08745459948276824,BBVAI.MC,tracker
Spain,2023,0.1573060428947597,BBVAI.MC,tracker
Spain,2024,0.2746257367259415,BBVAI.MC,tracker
Spain,2025,0.49122555826436076,BBVAI.MC,tracker
Sweden,2021,0.3925373572498019,NASDAQOMXSGI,TR
Sweden,2022,-0.22298351393515192,NASDAQOMXSGI,TR
Sweden,2023,0.18824103969395223,NASDAQOMXSGI,TR
Sweden,2024,0.0883205845416144,NASDAQOMXSGI,TR
Sweden,2025,0.1279189308268469,NASDAQOMXSGI,TR
Switzerland,2021,0.2059271520080348,CHSPI.SW,tracker
Switzerland,2022,-0.05178148660975246,CHSPI.SW,tracker
Switzerland,2023,0.027967131585106886,CHSPI.SW,tracker
Switzerland,2024,0.15363270079884295,CHSPI.SW,tracker
Switzerland,2025,0.11122658082671366,CHSPI.SW,tracker
UK,2021,0.17685723707878642,VUKE.L,tracker
UK,2022,0.05294553237821975,VUKE.L,tracker
UK,2023,0.07046930150620345,VUKE.L,tracker
UK,2024,0.09554246273381573,VUKE.L,tracker
UK,2025,0.2619419892834376,VUKE.L,tracker
USA,2021,0.2870536925932794,^SP500TR,TR
USA,2022,-0.1811088888630299,^SP500TR,TR
USA,2023,0.2628765952467029,^SP500TR,TR
USA,2024,0.250196819160305,^SP500TR,TR
USA,2025,0.17879972203280303,^SP500TR,TR
