year,gold_nominal,gold_real
1914,0.0,-0.015254237288135464
1915,0.0,-0.023313019390581835
1916,0.0,-0.1055820895522388
1917,0.0,-0.16060377358490563
1918,0.0,-0.17375304347826093
1919,0.0,-0.1309559939301974
1920,0.0,-0.026166172106824925
1921,0.0,0.11512292358804
1922,0.0,0.021451448040885834
1923,0.0,-0.028817275747508253
1924,0.0,-0.002342762063227921
1925,0.0,-0.04224640000000002
1926,0.0,0.012195121951219523
1927,0.0,0.015820895522387968
1928,0.0,0.006010050251256338
1929,0.0,-0.005665551839464711
1930,0.0,0.05980071174377222
1931,0.0,0.10187401574803157
1932,0.0,0.109578947368421
1933,0.0,-0.008349344978165862
1934,0.6932752781809384,0.6504658057633383
1935,0.0,-0.03292946058091295
1936,0.0,-0.014225872689938357
1937,0.0,-0.03376095617529884
1938,0.0,0.024573770491803426
1939,0.0,9.876543209874633e-05
1940,0.0,-0.014142566191445938
1941,0.0,-0.09269758812615958
1942,0.0,-0.08699999999999997
1943,0.0,-0.0351762767710051
1944,0.0,-0.024883870967741806
1945,0.0,-0.025993690851734863
1946,0.0,-0.15692389853137534
1947,0.0,-0.08689840881272948
1948,0.0,-0.03011680572109654
1949,0.0,0.015363304981774073
1950,0.0,-0.05888863375430542
1951,0.0,-0.05909327548806953
1952,0.0,-0.012567741935483934
1953,0.0,-0.010384615384615326
1954,0.0,0.00027467811158787825
1955,0.0,-0.007195721925133736
1956,0.0,-0.031954261954261876
1957,0.0,-0.033146316851664914
1958,0.0,-0.02079761904761901
1959,0.0,-0.01860410557184744
1960,0.0,-0.019337824831568762
1961,0.0,-0.009718660287081349
1962,0.0,-0.01623818525519849
1963,0.0,-0.020661710037174652
1964,0.0,-0.014985294117647041
1965,0.0,-0.014865454545454515
1966,0.0,-0.0448125544899739
1967,0.0,-0.033492385786801915
1968,0.19714285714285706,0.13933934172537255
1969,-0.15990453460620513,-0.211697411782669
1970,0.061931818181818254,0.0018766557419620522
1971,0.16720171214553226,0.12576180958202943
1972,0.4875085950034381,0.4327542236760791
1973,0.7295839753466871,0.5812805033370305
1974,0.6614699331848553,0.47626888850657867
1975,-0.24798927613941024,-0.3008409938279626
1976,-0.04099821746880572,-0.09062983337891817
1977,0.2263940520446095,0.14502292864328914
1978,0.3701121551985451,0.252084808174486
1979,1.2654867256637168,0.9923437929301373
1980,0.15185546875,0.02110383971744212
1981,-0.3259855871131836,-0.38361419432115207
1982,0.14943396226415095,0.10265185390970011
1983,-0.16305537316699492,-0.196820367535394
1984,-0.193776150627615,-0.22820762186344035
1985,0.0600064871878041,0.01719964197351964
1986,0.18956548347613222,0.17090610714756105
1987,0.24527331189710622,0.18879219531846791
1988,-0.1525511258004545,-0.19160535297676506
1989,-0.028397318708104802,-0.07519116035733364
1990,-0.031108881083793394,-0.09179237819928221
1991,-0.08557742102537547,-0.11559592453578293
1992,-0.057341073198357684,-0.08816326063595137
1993,0.17677981375788532,0.1400269917748591
1994,-0.02169751116783658,-0.050278780089130115
1995,0.009784735812133016,-0.01908767013026269
1996,-0.04586563307493541,-0.08074223573323402
1997,-0.21408259986459044,-0.23028865583134628
1998,-0.008270158511371362,-0.027858612265115323
1999,0.00851285615010422,-0.021704301353082323
2000,-0.05443583118001727,-0.08950294863945585
2001,0.007469484423392236,-0.012398266238120348
2002,0.2556962025316456,0.220404100927446
2003,0.1988767281105992,0.17026400810519982
2004,0.046486486486486456,0.00859022764395112
2005,0.1776859504132231,0.13507999348894484
2006,0.23196881091617927,0.19683310740815418
2007,0.3192246835443038,0.262090868976532
2008,0.04317841079460272,0.039236719474163406
2009,0.25035929864903705,0.21127123536576575
2010,0.2924137931034483,0.2689986029181377
2011,0.08929206688011382,0.05270047323190119
2012,0.08262573481384705,0.059650678191806916
2013,-0.2733031674208145,-0.28699655605254604
2014,0.001245330012453305,-0.009230564643794903
2015,-0.12106135986733002,-0.13013312811198385
2016,0.0810377358490566,0.05507608456343349
2017,0.12662535997905566,0.09871695646823575
2018,-0.009295120061967421,-0.03262839512344651
2019,0.1843236903831118,0.15284579163096157
2020,0.24614622875061887,0.22498667478442758
2021,-0.043308963763509234,-0.1109212596116338
2022,0.004374671207464598,-0.05985533283087885
2023,0.14591316333563076,0.1046986961468841
2024,0.2553406466512702,0.21542811082988278
2025,0.6740638534360508,0.6242708203460645
