mode,year,available_months,available,trend_real,cash_real
Baseline,1927,12,1,0.28322239232184754,0.06069651650102048
Baseline,1928,12,1,0.3149103497438095,0.05045226040342521
Baseline,1929,12,1,0.18436013783385907,0.03785806464463959
Baseline,1930,12,1,0.1811042031529988,0.10740235214556271
Baseline,1931,12,1,0.36165741648592786,0.15094084355712933
Baseline,1932,12,1,0.1490383951668619,0.16025907588768828
Baseline,1933,12,1,-0.10747843008538382,0.030170519994877854
Baseline,1934,12,1,-0.027274965290019715,0.008767156750223437
Baseline,1935,12,1,0.020854451310354793,-0.0020322077192309607
Baseline,1936,12,1,0.29001360019025935,0.012372876775614161
Baseline,1937,12,1,-0.07663696365799322,-0.011132956950033579
Baseline,1938,12,1,0.1321623570221344,0.047570894586841384
Baseline,1939,12,1,-0.10419371637956332,0.022205827566040615
Baseline,1940,12,1,-0.0031794123844144373,0.0059249679692383594
Baseline,1941,12,1,-0.09894341898129877,-0.07583315048804296
Baseline,1942,12,1,-0.061597555605009124,-0.07087970183543024
Baseline,1943,12,1,0.19418193661461003,-0.019568422192413393
Baseline,1944,12,1,0.06274520915405524,-0.011389603351630306
Baseline,1945,12,1,0.172036210864986,-0.013237632217602213
Baseline,1946,12,1,0.29615939896850496,-0.1458067950930625
Baseline,1947,12,1,-0.012065185610086182,-0.07460156340503099
Baseline,1948,12,1,-0.059563425827711014,-0.016410018909050028
Baseline,1949,12,1,0.2032899026964492,0.031435476496074255
Baseline,1950,12,1,0.0679381684408189,-0.044909057796571394
Baseline,1951,12,1,-0.06751969296149529,-0.044855439335450886
Baseline,1952,12,1,-0.03929735250651578,0.003226921042449371
Baseline,1953,12,1,-0.06709840655869648,0.006703548557218442
Baseline,1954,12,1,0.5039946688695809,0.018564239040369523
Baseline,1955,12,1,0.41395598460871863,0.011922977581826144
Baseline,1956,12,1,-0.034881443424618186,-0.012271588679896195
Baseline,1957,12,1,-0.16541512075560894,-0.011143687996010843
Baseline,1958,12,1,0.0673738950869851,0.006882515564111014
Baseline,1959,12,1,0.19442288690188403,0.010506777644549326
Baseline,1960,12,1,0.006095652299496379,0.012803101551821738
Baseline,1961,12,1,0.009750096498324146,0.023604783271376606
Baseline,1962,12,1,-0.14861861625560568,0.01825126995188109
Baseline,1963,12,1,0.06849009226542724,0.01837742808505438
Baseline,1964,12,1,0.26568996660356814,0.027000180476569158
Baseline,1965,12,1,0.14279714882999195,0.03155536016230376
Baseline,1966,12,1,0.06181477170247307,0.010884962315295343
Baseline,1967,12,1,0.08408810664841293,0.01912916025527034
Baseline,1968,12,1,-0.039062503615898025,0.011003722479790534
Baseline,1969,12,1,0.18284350294316165,0.01323387456286551
Baseline,1970,12,1,-0.037156639789457824,0.020938455464238448
Baseline,1971,12,1,-0.10860629021502066,0.017643971771362565
Baseline,1972,12,1,0.12357925112945889,0.01154035341542925
Baseline,1973,12,1,0.47048225726555226,-0.005739170208360234
Baseline,1974,12,1,0.23160267393436462,-0.018682411153460032
Baseline,1975,12,1,-0.1250580698610514,-0.002214119066057396
Baseline,1976,12,1,0.14080474737001358,0.0049242743921680265
Baseline,1977,12,1,0.23977638282840674,-0.011551278487003214
Baseline,1978,12,1,0.2612644898021552,-0.010424790546951224
Baseline,1979,12,1,0.35407094676217876,-0.02032579690849734
Baseline,1980,12,1,0.17015424978040694,0.000695567814542164
Baseline,1981,12,1,0.10246829499632781,0.06875376114405274
Baseline,1982,12,1,0.21673766995502874,0.08419578734237465
Baseline,1983,12,1,0.11221214444719374,0.04999397713684739
Baseline,1984,12,1,0.06643678355592497,0.06256920408590982
Baseline,1985,12,1,0.2770171747217973,0.041566294338919674
Baseline,1986,12,1,0.23514066358487162,0.05503815580608573
Baseline,1987,12,1,0.15098216061483472,0.0219249880214456
Baseline,1988,12,1,0.11007648885826837,0.030389429819428715
Baseline,1989,12,1,0.04972844120648312,0.04313487985098852
Baseline,1990,12,1,0.03951688984299073,0.019629465469601426
Baseline,1991,12,1,0.020246474628304867,0.0295655869605842
Baseline,1992,12,1,-0.02377481277695137,0.008383806062487231
Baseline,1993,12,1,0.17435809801796287,0.004321478172269577
Baseline,1994,12,1,0.016441082587321354,0.016542435122898214
Baseline,1995,12,1,0.20930519381885815,0.033488873052366586
Baseline,1996,12,1,0.17842269255174048,0.020154971252071885
