month,commodity_count,currency_count,bond_count,equity_count,commodity_weight,currency_weight,bond_weight,equity_weight,gold_count
1924-03,4,0,0,0,1.0,0.0,0.0,0.0,0
1924-04,4,0,0,0,1.0,0.0,0.0,0.0,0
1924-05,4,0,0,0,1.0,0.0,0.0,0.0,0
1924-06,4,0,0,0,1.0,0.0,0.0,0.0,0
1924-07,4,0,0,0,1.0,0.0,0.0,0.0,0
1924-08,4,0,0,0,1.0,0.0,0.0,0.0,0
1924-09,4,0,0,0,1.0,0.0,0.0,0.0,0
1924-10,4,0,0,0,1.0,0.0,0.0,0.0,0
1924-11,4,0,0,0,1.0,0.0,0.0,0.0,0
1924-12,4,0,0,0,1.0,0.0,0.0,0.0,0
1925-01,4,0,0,0,1.0,0.0,0.0,0.0,0
1925-02,4,0,0,0,1.0,0.0,0.0,0.0,0
1925-03,4,0,0,0,1.0,0.0,0.0,0.0,0
1925-04,4,0,0,0,1.0,0.0,0.0,0.0,0
1925-05,4,0,0,0,1.0,0.0,0.0,0.0,0
1925-06,4,0,0,0,1.0,0.0,0.0,0.0,0
1925-07,4,0,0,0,1.0,0.0,0.0,0.0,0
1925-08,4,0,0,0,1.0,0.0,0.0,0.0,0
1925-09,4,0,0,0,1.0,0.0,0.0,0.0,0
1925-10,4,0,0,0,1.0,0.0,0.0,0.0,0
1925-11,4,0,0,0,1.0,0.0,0.0,0.0,0
1925-12,4,0,0,0,1.0,0.0,0.0,0.0,0
1926-01,4,0,0,0,1.0,0.0,0.0,0.0,0
1926-02,4,0,0,0,1.0,0.0,0.0,0.0,0
1926-03,4,0,0,0,1.0,0.0,0.0,0.0,0
1926-04,4,0,0,0,1.0,0.0,0.0,0.0,0
1926-05,4,0,0,0,1.0,0.0,0.0,0.0,0
1926-06,4,0,0,0,1.0,0.0,0.0,0.0,0
1926-07,4,0,0,0,1.0,0.0,0.0,0.0,0
1926-08,4,0,0,0,1.0,0.0,0.0,0.0,0
1926-09,4,0,0,0,1.0,0.0,0.0,0.0,0
1926-10,4,0,0,0,1.0,0.0,0.0,0.0,0
1926-11,4,0,0,0,1.0,0.0,0.0,0.0,0
1926-12,4,0,0,0,1.0,0.0,0.0,0.0,0
1927-01,4,0,0,0,1.0,0.0,0.0,0.0,0
1927-02,4,0,0,0,1.0,0.0,0.0,0.0,0
1927-03,4,0,0,0,1.0,0.0,0.0,0.0,0
1927-04,4,0,0,0,1.0,0.0,0.0,0.0,0
1927-05,4,0,0,0,1.0,0.0,0.0,0.0,0
1927-06,4,0,0,0,1.0,0.0,0.0,0.0,0
1927-07,4,0,0,0,1.0,0.0,0.0,0.0,0
1927-08,4,0,0,0,1.0,0.0,0.0,0.0,0
1927-09,4,0,0,0,1.0,0.0,0.0,0.0,0
1927-10,4,0,0,0,1.0,0.0,0.0,0.0,0
1927-11,4,0,0,0,1.0,0.0,0.0,0.0,0
1927-12,4,0,0,0,1.0,0.0,0.0,0.0,0
1928-01,4,0,0,0,1.0,0.0,0.0,0.0,0
1928-02,4,0,0,0,1.0,0.0,0.0,0.0,0
1928-03,4,0,0,0,1.0,0.0,0.0,0.0,0
1928-04,4,0,0,0,1.0,0.0,0.0,0.0,0
1928-05,4,0,0,0,1.0,0.0,0.0,0.0,0
1928-06,4,0,0,0,1.0,0.0,0.0,0.0,0
1928-07,4,0,0,0,1.0,0.0,0.0,0.0,0
1928-08,4,0,0,0,1.0,0.0,0.0,0.0,0
1928-09,4,0,0,0,1.0,0.0,0.0,0.0,0
1928-10,4,0,0,0,1.0,0.0,0.0,0.0,0
1928-11,4,0,0,0,1.0,0.0,0.0,0.0,0
1928-12,4,0,0,0,1.0,0.0,0.0,0.0,0
1929-01,4,0,0,0,1.0,0.0,0.0,0.0,0
1929-02,4,0,0,0,1.0,0.0,0.0,0.0,0
1929-03,4,0,0,0,1.0,0.0,0.0,0.0,0
1929-04,4,0,0,0,1.0,0.0,0.0,0.0,0
1929-05,4,0,0,0,1.0,0.0,0.0,0.0,0
1929-06,4,0,0,0,1.0,0.0,0.0,0.0,0
1929-07,4,0,0,0,1.0,0.0,0.0,0.0,0
1929-08,4,0,0,0,1.0,0.0,0.0,0.0,0
1929-09,4,0,0,0,1.0,0.0,0.0,0.0,0
1929-10,4,0,0,0,1.0,0.0,0.0,0.0,0
1929-11,4,0,0,0,1.0,0.0,0.0,0.0,0
1929-12,4,0,0,0,1.0,0.0,0.0,0.0,0
1930-01,4,0,0,0,1.0,0.0,0.0,0.0,0
1930-02,4,0,0,0,1.0,0.0,0.0,0.0,0
1930-03,4,0,0,0,1.0,0.0,0.0,0.0,0
1930-04,4,0,0,0,1.0,0.0,0.0,0.0,0
1930-05,4,0,0,0,1.0,0.0,0.0,0.0,0
1930-06,4,0,0,0,1.0,0.0,0.0,0.0,0
1930-07,4,0,0,0,1.0,0.0,0.0,0.0,0
1930-08,4,0,0,0,1.0,0.0,0.0,0.0,0
1930-09,4,0,0,0,1.0,0.0,0.0,0.0,0
1930-10,4,0,0,0,1.0,0.0,0.0,0.0,0
1930-11,4,0,0,0,1.0,0.0,0.0,0.0,0
1930-12,4,0,0,0,1.0,0.0,0.0,0.0,0
1931-01,4,0,0,0,1.0,0.0,0.0,0.0,0
1931-02,4,0,0,0,1.0,0.0,0.0,0.0,0
1931-03,4,0,0,0,1.0,0.0,0.0,0.0,0
1931-04,4,0,0,0,1.0,0.0,0.0,0.0,0
1931-05,4,0,0,0,1.0,0.0,0.0,0.0,0
1931-06,4,0,0,0,1.0,0.0,0.0,0.0,0
1931-07,4,0,0,0,1.0,0.0,0.0,0.0,0
1931-08,4,0,0,0,1.0,0.0,0.0,0.0,0
1931-09,4,0,0,0,1.0,0.0,0.0,0.0,0
1931-10,4,0,0,0,1.0,0.0,0.0,0.0,0
1931-11,4,0,0,0,1.0,0.0,0.0,0.0,0
1931-12,4,0,0,0,1.0,0.0,0.0,0.0,0
1932-01,4,0,0,0,1.0,0.0,0.0,0.0,0
1932-02,4,0,0,0,1.0,0.0,0.0,0.0,0
1932-03,4,0,0,0,1.0,0.0,0.0,0.0,0
1932-04,4,0,0,0,1.0,0.0,0.0,0.0,0
1932-05,4,0,0,0,1.0,0.0,0.0,0.0,0
1932-06,4,0,0,0,1.0,0.0,0.0,0.0,0
1932-07,4,0,0,0,1.0,0.0,0.0,0.0,0
1932-08,4,0,0,0,1.0,0.0,0.0,0.0,0
1932-09,4,0,0,0,1.0,0.0,0.0,0.0,0
1932-10,4,0,0,0,1.0,0.0,0.0,0.0,0
1932-11,4,0,0,0,1.0,0.0,0.0,0.0,0
1932-12,4,0,0,0,1.0,0.0,0.0,0.0,0
1933-01,4,0,0,0,1.0,0.0,0.0,0.0,0
1933-02,4,0,0,0,1.0,0.0,0.0,0.0,0
1933-03,4,0,0,0,1.0,0.0,0.0,0.0,0
1933-04,4,0,0,0,1.0,0.0,0.0,0.0,0
1933-05,4,0,0,0,1.0,0.0,0.0,0.0,0
1933-06,4,0,0,0,1.0,0.0,0.0,0.0,0
1933-07,4,0,0,0,1.0,0.0,0.0,0.0,0
1933-08,4,0,0,0,1.0,0.0,0.0,0.0,0
1933-09,4,0,0,0,1.0,0.0,0.0,0.0,0
1933-10,4,0,0,0,1.0,0.0,0.0,0.0,0
1933-11,4,0,0,0,1.0,0.0,0.0,0.0,0
1933-12,4,0,0,0,1.0,0.0,0.0,0.0,0
1934-01,4,0,0,0,1.0,0.0,0.0,0.0,0
1934-02,5,0,0,0,1.0,0.0,0.0,0.0,1
1934-03,5,0,0,0,1.0,0.0,0.0,0.0,1
1934-04,5,0,0,0,1.0,0.0,0.0,0.0,1
1934-05,5,0,0,0,1.0,0.0,0.0,0.0,1
1934-06,5,0,0,0,1.0,0.0,0.0,0.0,1
1934-07,5,0,0,0,1.0,0.0,0.0,0.0,1
1934-08,5,0,0,0,1.0,0.0,0.0,0.0,1
1934-09,5,0,0,0,1.0,0.0,0.0,0.0,1
1934-10,5,0,0,0,1.0,0.0,0.0,0.0,1
1934-11,5,0,0,0,1.0,0.0,0.0,0.0,1
1934-12,5,0,0,0,1.0,0.0,0.0,0.0,1
1935-01,5,0,0,0,1.0,0.0,0.0,0.0,1
1935-02,5,0,0,0,1.0,0.0,0.0,0.0,1
1935-03,5,0,0,0,1.0,0.0,0.0,0.0,1
1935-04,5,0,0,0,1.0,0.0,0.0,0.0,1
1935-05,5,0,0,0,1.0,0.0,0.0,0.0,1
1935-06,5,0,0,0,1.0,0.0,0.0,0.0,1
1935-07,5,0,0,0,1.0,0.0,0.0,0.0,1
1935-08,5,0,0,0,1.0,0.0,0.0,0.0,1
1935-09,5,0,0,0,1.0,0.0,0.0,0.0,1
1935-10,5,0,0,0,1.0,0.0,0.0,0.0,1
1935-11,5,0,0,0,1.0,0.0,0.0,0.0,1
1935-12,5,0,0,0,1.0,0.0,0.0,0.0,1
1936-01,5,0,0,0,1.0,0.0,0.0,0.0,1
1936-02,5,0,0,0,1.0,0.0,0.0,0.0,1
1936-03,5,0,0,0,1.0,0.0,0.0,0.0,1
1936-04,5,0,0,0,1.0,0.0,0.0,0.0,1
1936-05,5,0,0,0,1.0,0.0,0.0,0.0,1
1936-06,5,0,0,0,1.0,0.0,0.0,0.0,1
1936-07,5,0,0,0,1.0,0.0,0.0,0.0,1
1936-08,5,0,0,0,1.0,0.0,0.0,0.0,1
1936-09,5,0,0,0,1.0,0.0,0.0,0.0,1
1936-10,5,0,0,0,1.0,0.0,0.0,0.0,1
1936-11,5,0,0,0,1.0,0.0,0.0,0.0,1
1936-12,5,0,0,0,1.0,0.0,0.0,0.0,1
1937-01,5,0,0,0,1.0,0.0,0.0,0.0,1
1937-02,4,0,0,0,1.0,0.0,0.0,0.0,0
1937-03,4,0,0,0,1.0,0.0,0.0,0.0,0
1937-04,4,0,0,0,1.0,0.0,0.0,0.0,0
1937-05,4,0,0,0,1.0,0.0,0.0,0.0,0
1937-06,4,0,0,0,1.0,0.0,0.0,0.0,0
1937-07,4,0,0,0,1.0,0.0,0.0,0.0,0
1937-08,4,0,0,0,1.0,0.0,0.0,0.0,0
1937-09,4,0,0,0,1.0,0.0,0.0,0.0,0
1937-10,4,0,0,0,1.0,0.0,0.0,0.0,0
1937-11,4,0,0,0,1.0,0.0,0.0,0.0,0
1937-12,4,0,0,0,1.0,0.0,0.0,0.0,0
1938-01,4,0,0,0,1.0,0.0,0.0,0.0,0
1938-02,4,0,0,0,1.0,0.0,0.0,0.0,0
1938-03,4,0,0,0,1.0,0.0,0.0,0.0,0
1938-04,4,0,0,0,1.0,0.0,0.0,0.0,0
1938-05,4,0,0,0,1.0,0.0,0.0,0.0,0
1938-06,4,0,0,0,1.0,0.0,0.0,0.0,0
1938-07,4,0,0,0,1.0,0.0,0.0,0.0,0
1938-08,4,0,0,0,1.0,0.0,0.0,0.0,0
1938-09,4,0,0,0,1.0,0.0,0.0,0.0,0
1938-10,4,0,0,0,1.0,0.0,0.0,0.0,0
1938-11,4,0,0,0,1.0,0.0,0.0,0.0,0
1938-12,4,0,0,0,1.0,0.0,0.0,0.0,0
1939-01,4,0,0,0,1.0,0.0,0.0,0.0,0
1939-02,4,0,0,0,1.0,0.0,0.0,0.0,0
1939-03,4,0,0,0,1.0,0.0,0.0,0.0,0
1939-04,4,0,0,0,1.0,0.0,0.0,0.0,0
1939-05,4,0,0,0,1.0,0.0,0.0,0.0,0
1939-06,4,0,0,0,1.0,0.0,0.0,0.0,0
1939-07,4,0,0,0,1.0,0.0,0.0,0.0,0
1939-08,4,0,0,0,1.0,0.0,0.0,0.0,0
1939-09,4,0,0,0,1.0,0.0,0.0,0.0,0
1939-10,4,0,0,0,1.0,0.0,0.0,0.0,0
1939-11,4,0,0,0,1.0,0.0,0.0,0.0,0
1939-12,4,0,0,0,1.0,0.0,0.0,0.0,0
1940-01,4,0,0,0,1.0,0.0,0.0,0.0,0
1940-02,5,0,0,0,1.0,0.0,0.0,0.0,0
1940-03,5,0,0,0,1.0,0.0,0.0,0.0,0
1940-04,5,0,0,0,1.0,0.0,0.0,0.0,0
1940-05,5,0,0,0,1.0,0.0,0.0,0.0,0
1940-06,5,0,0,0,1.0,0.0,0.0,0.0,0
1940-07,5,0,0,0,1.0,0.0,0.0,0.0,0
1940-08,5,0,0,0,1.0,0.0,0.0,0.0,0
1940-09,5,0,0,0,1.0,0.0,0.0,0.0,0
1940-10,5,0,0,0,1.0,0.0,0.0,0.0,0
1940-11,5,0,0,0,1.0,0.0,0.0,0.0,0
