country,year,international_equity_real,international_equity_real_constant_real_fx,world_equity_real_resident,resident_xrusd,markets,world_markets,weight_source
Australia,1872,0.17836664207720188,0.07925593258972777,0.1793711125299593,0.36923880927016545,6,7,PIB proxy
Australia,1873,-0.03139583644219357,-0.04483856492169208,-0.028782665398499496,0.3624047757834013,7,8,PIB proxy
Australia,1874,-0.0040943375080503275,0.056234035114265224,-0.0019436420767404705,0.37222345512135085,8,9,PIB proxy
Australia,1875,0.015636105980248116,0.10153246702044724,0.01677359569448411,0.3609256158331147,8,9,PIB proxy
Australia,1876,0.010633617446712762,0.012159308445597681,0.012137334928557397,0.3720217079912038,8,9,PIB proxy
Australia,1877,0.04344117054797603,0.07348665791303606,0.04407631165709325,0.39991067984815576,6,7,capitalisation
Australia,1878,0.0951235933345218,0.11110145628150553,0.09240820222251611,0.41257288115076557,8,9,PIB proxy
Australia,1879,0.3142576085208266,0.29927355358577,0.3114305786681504,0.4150882566293221,8,9,PIB proxy
Australia,1880,0.2155724050829524,0.15911483221398623,0.2155724050829524,0.41252253898543567,7,7,capitalisation
Australia,1881,0.1860142506431226,0.16849339509821962,0.18428957707959914,0.415874878239073,8,9,PIB proxy
Australia,1882,-0.03824415219345134,-0.020531525132277486,-0.03618252426716284,0.4124365263221646,9,10,PIB proxy
Australia,1883,-0.08996767392289506,0.021853819799045875,-0.08575729590603742,0.4131763213548113,9,10,PIB proxy
Australia,1884,0.03188088146089174,0.05976800396131622,0.03186065034116403,0.4137967507243865,7,8,capitalisation
Australia,1885,0.10018263811122075,0.1240918648256972,0.10042354949234333,0.41309466050859567,9,10,PIB proxy
Australia,1886,0.0795370442978891,0.09680894826253758,0.07853197588019989,0.4121250083411612,9,10,PIB proxy
Australia,1887,0.03847448185032065,0.0039345925687305685,0.04369665359757868,0.41447168205588253,10,11,PIB proxy
Australia,1888,0.12498080744821727,0.07365135034026105,0.128832891918643,0.4129029645341571,10,11,PIB proxy
Australia,1889,0.1009939660028325,0.0960434281888486,0.09878264085382416,0.4117739386444417,10,11,PIB proxy
Australia,1890,-0.024537032740003628,-0.03244313860462446,-0.02374267231687066,0.4127704266670076,10,11,PIB proxy
Australia,1891,0.0719108181194208,0.05078138543181518,0.06874531176519927,0.41335053898449514,10,11,PIB proxy
Australia,1892,0.06320257898270176,0.07089999474700062,0.06353614564358367,0.4123145091878488,10,11,PIB proxy
Australia,1893,-0.0061380008036561184,-0.005236168979360884,-0.006359347632182488,0.4131714963323109,10,11,PIB proxy
Australia,1894,0.1460803313474226,0.09332377851947408,0.14665870389062308,0.4124115766942889,10,11,PIB proxy
Australia,1895,0.17106694153130197,0.10589085149472448,0.1730339121353981,0.41104284708261263,10,11,PIB proxy
Australia,1896,0.09996551542357723,0.08326300406097466,0.09871509106324172,0.4130498688942322,10,11,PIB proxy
Australia,1897,0.0796688751771144,0.07621823080298981,0.07975367572425807,0.4129649029197701,11,12,PIB proxy
Australia,1898,0.13354781914143388,0.1026867183594127,0.13416824739305877,0.4162815219700577,11,12,PIB proxy
Australia,1899,0.009616213645976535,0.05945538884137139,0.010046276429201528,0.4155174733995985,9,10,capitalisation
Australia,1900,0.08078145947950444,0.0718738606618514,0.0809491098145878,0.4155043641520236,10,11,capitalisation
Australia,1901,0.0554448083261434,0.07035980357961487,0.0539050694689589,0.4150841148947982,14,15,PIB proxy
Australia,1902,-0.011954314063230331,0.04859231408841469,-0.011391409279927878,0.4152713811266021,12,13,capitalisation
Australia,1903,-0.057385963425973574,-0.05450810263061994,-0.05601799445299316,0.4155164907043526,12,13,capitalisation
Australia,1904,0.24006656829634565,0.17768054240184206,0.23931795733052685,0.4146392388698032,12,13,capitalisation
