country,year,international_equity_real,international_equity_real_constant_real_fx,world_equity_real_resident,resident_xrusd,markets,world_markets,weight_source
Australia,1871,0.3790877510969104,0.3349758893104634,0.37211709807254034,0.3691464495849117,4,5,PIB proxy
Australia,1872,0.14829934414698287,0.06093411149437901,0.14829934414698287,0.36923880927016545,6,6,capitalisation
Australia,1873,-0.024223968892840952,-0.04004761293648052,-0.021795970056542546,0.3624047757834013,8,9,PIB proxy
Australia,1874,-0.004534152047338091,0.056580993016561484,-0.002446603867920172,0.37222345512135085,9,10,PIB proxy
Australia,1875,0.0116459855811466,0.0967537291281531,0.012805805960070193,0.3609256158331147,9,10,PIB proxy
Australia,1876,0.006509614924304241,0.006922401368696374,0.008032161580333597,0.3720217079912038,9,10,PIB proxy
Australia,1877,0.04160404249758565,0.07140058464259483,0.042239686913819297,0.39991067984815576,7,8,capitalisation
Australia,1878,0.09211945243743136,0.10880893454895105,0.08953922415822202,0.41257288115076557,9,10,PIB proxy
Australia,1879,0.3155901633742857,0.3012240182239977,0.31282977332175044,0.4150882566293221,9,10,PIB proxy
Australia,1880,0.2126624559676411,0.1581354082842839,0.2126624559676411,0.41252253898543567,8,8,capitalisation
Australia,1881,0.18088402403932013,0.16323495014281386,0.1793023350816143,0.415874878239073,9,10,PIB proxy
Australia,1882,-0.03997713033796124,-0.021668289859252638,-0.037947350939177005,0.4124365263221646,10,11,PIB proxy
Australia,1883,-0.09057467954159193,0.019863610832147646,-0.0864825073894614,0.4131763213548113,10,11,PIB proxy
Australia,1884,0.029826352190812866,0.059204284734873575,0.0298236543390602,0.4137967507243865,8,9,capitalisation
Australia,1885,0.09595461953972517,0.12035715164054411,0.09626533084875732,0.41309466050859567,10,11,PIB proxy
Australia,1886,0.07729636604053947,0.09657655401740889,0.07636500197075846,0.4121250083411612,10,11,PIB proxy
Australia,1887,0.03981774892860046,0.0038747035956744023,0.04486685574075433,0.41447168205588253,11,12,PIB proxy
Australia,1888,0.12731215300394405,0.07682742554873963,0.1310092456619425,0.4129029645341571,11,12,PIB proxy
Australia,1889,0.09722342085190916,0.08794491617413339,0.09546778867717509,0.4117739386444417,8,9,capitalisation
Australia,1890,-0.02358656937272985,-0.03203624737448388,-0.022833910724817663,0.4127704266670076,11,12,PIB proxy
Australia,1891,0.06967462592313067,0.048742479765718535,0.06664194745057217,0.41335053898449514,11,12,PIB proxy
Australia,1892,0.06224925244647861,0.07070428304425905,0.06259255825542431,0.4123145091878488,11,12,PIB proxy
Australia,1893,-0.006139863710725502,-0.003830726802205031,-0.006355016396454305,0.4131714963323109,11,12,PIB proxy
Australia,1894,0.14712331807260903,0.09515129457238906,0.14766849823786266,0.4124115766942889,11,12,PIB proxy
Australia,1895,0.17077594693548703,0.10457267749694596,0.17269225447100522,0.41104284708261263,11,12,PIB proxy
Australia,1896,0.09963268847068552,0.08512245915232872,0.09842148803625972,0.4130498688942322,11,12,PIB proxy
Australia,1897,0.08139281088430828,0.07717156594693537,0.08144887787418464,0.4129649029197701,11,12,PIB proxy
Australia,1898,0.13454882089249542,0.10475881123971487,0.13514124136432804,0.4162815219700577,11,12,PIB proxy
Australia,1899,0.008869331723826424,0.05818753074058323,0.009288951403702672,0.4155174733995985,10,11,capitalisation
Australia,1900,0.07496100920256565,0.06332554800693524,0.07516653991223299,0.4155043641520236,11,12,capitalisation
Australia,1901,0.05185566182439816,0.06577258590743734,0.05039882687386088,0.4150841148947982,14,15,PIB proxy
Australia,1902,-0.012079303416854481,0.04839538777688622,-0.011529659255334779,0.4152713811266021,13,14,capitalisation
Australia,1903,-0.05329439946958836,-0.050391264437394015,-0.051979924341791994,0.4155164907043526,13,14,capitalisation
Australia,1904,0.23868740453582804,0.1809943680017696,0.237968356165134,0.4146392388698032,13,14,capitalisation
Australia,1905,0.14168168866766573,0.13952713503901715,0.14170680608774644,0.41488145716796226,13,14,capitalisation
Australia,1906,0.09417385474416506,0.08598393881762409,0.09402753839625921,0.4149464723511342,14,15,PIB proxy
Australia,1907,-0.1309613074875594,-0.14672667602440503,-0.12935237170685998,0.41196953439646916,13,14,capitalisation
Australia,1908,0.1510536362079773,0.18501898679353504,0.15095021823562593,0.41480299208149884,13,14,capitalisation
Australia,1909,0.13059760629205086,0.15693392553565094,0.13051034745760393,0.41355515351010147,13,14,capitalisation
Australia,1910,-0.02442450828052034,-0.03744442180162651,-0.02390467771029603,0.41395996734233387,13,14,capitalisation
Australia,1911,-0.02209867919462416,0.04050982377695184,-0.02172300175715125,0.4146558862439013,13,14,capitalisation
Australia,1912,-0.01857121440995879,0.039777200801066094,-0.01843633821197188,0.41416473580788926,13,14,capitalisation
Australia,1913,-0.028444809202811228,-0.045704129575603346,-0.02750777264894877,0.41384943971647487,13,14,capitalisation
Australia,1914,-0.09902564098508349,-0.052724381234790896,-0.09789671107751463,0.40966984169970594,14,15,capitalisation
Australia,1915,0.05668426946898819,0.0751426329903445,0.055258408395321146,0.4272693557290839,12,13,capitalisation
Australia,1916,0.06893314082126878,-0.020689518307106396,0.0679505417961539,0.42591712884425026,12,13,capitalisation
Australia,1917,-0.13763419573105995,-0.24991338885208272,-0.13606256840546838,0.42450906625965557,12,13,capitalisation
Australia,1918,0.07874469632934855,-0.055007823417869854,0.07795160664833611,0.424438120878588,11,12,capitalisation
Australia,1919,0.013355338918522808,0.051417724515828225,0.013846649007787537,0.4573750556384178,11,12,capitalisation
Australia,1920,-0.11675457185571414,-0.28071041539491537,-0.11468348668232575,0.5594117322889597,11,12,capitalisation
Australia,1921,0.14670853661217143,0.22698017440854804,0.148713406958485,0.5297549951485833,12,13,capitalisation
Australia,1922,0.11229789259496203,0.41434923059153805,0.11341230147004677,0.45266236183674174,13,14,capitalisation
Australia,1923,0.9963183972223462,0.23869349795899683,0.9894679697496305,0.435687530180402,13,14,capitalisation
Australia,1924,0.1617486245220634,0.17051646900978634,0.16141623034411312,0.44232046227806776,12,13,capitalisation
Australia,1925,0.12456094070369894,0.16222952424896492,0.12493071748954532,0.41447141948415456,13,14,capitalisation
Australia,1926,0.14842119343035143,0.16141990515405685,0.14835312258946942,0.41257451845657517,12,13,capitalisation
Australia,1927,0.25095130594297466,0.2603055166080216,0.24953942949305108,0.41433834413409815,12,13,capitalisation
Australia,1928,0.30438729387880525,0.3262287186196468,0.3034687369282989,0.4151414263418,12,13,capitalisation
Australia,1929,-0.021705562740813034,-0.07361659192902245,-0.021905165639723334,0.4365832221661474,13,14,capitalisation
Australia,1930,0.0539013041323817,-0.18408603800885914,0.052312430460718096,0.5307128194828947,13,14,capitalisation
Australia,1931,-0.30656006695804294,-0.2940522312160833,-0.303990159937249,0.5523449889357013,13,14,capitalisation
Australia,1932,0.2768613298089364,0.10338667320192818,0.2770697619146414,0.7169864074720653,13,14,capitalisation
Australia,1933,0.23738124601356025,0.38957950060680324,0.23756825192534015,0.5933163830278935,13,14,capitalisation
Australia,1934,-0.044671780943344896,0.015318390040380506,-0.041742137077108055,0.5002905825283235,13,14,capitalisation
Australia,1935,0.28054142944510874,0.27084976566926383,0.2782211834920596,0.5122578566716348,13,14,capitalisation
Australia,1936,0.21929506283442413,0.26225919903708345,0.21871622282273173,0.504946822636257,13,14,capitalisation
Australia,1937,-0.23980685267011004,-0.236190644270948,-0.23746798973013516,0.5077324401141773,13,14,capitalisation
Australia,1938,0.028764877572393877,0.05332703958708275,0.028076753380476216,0.5134151834605164,13,14,capitalisation
Australia,1939,0.0732566678154758,0.023372176023505283,0.07265857230685802,0.5659629860207143,14,15,capitalisation
Australia,1940,0.0364287556953693,-0.08689910644414182,0.035643713663037646,0.655393891728929,12,13,capitalisation
Australia,1941,-0.039608629202185885,-0.052257530050222906,-0.04047150563819424,0.6225099601593626,11,12,capitalisation
Australia,1942,0.051723658978600096,0.039447027920117166,0.052492922030344946,0.6220839813374806,11,12,capitalisation
Australia,1943,0.17082205000085815,0.10925695000139787,0.16985175321979518,0.6198090987975704,11,12,capitalisation
Australia,1944,0.1283109342780011,0.10132631924670815,0.1277667448954185,0.6195786864931846,11,12,capitalisation
Australia,1945,0.18216915484335638,0.16879501600023628,0.18157887009419893,0.6211180124223602,10,11,capitalisation
Australia,1946,-0.13932105811678963,-0.05566548772911544,-0.13674993129824375,0.6223937262712392,10,11,capitalisation
Australia,1947,-0.11651870345335413,-0.11119916326946455,-0.11414487538921869,0.6230529595015576,12,13,capitalisation
Australia,1948,-0.06299965822400078,-0.10050340326006917,-0.06287338967815592,0.6203473045260441,12,13,capitalisation
Australia,1949,0.37165294299081664,0.0784102998260767,0.36507762943476885,0.892856999892857,12,12,capitalisation
Australia,1950,0.12381419667671656,0.18830430519943606,0.12521743418455333,0.892856999892857,13,14,capitalisation
Australia,1951,0.02662126186766689,0.13915156698876568,0.02240575353079488,0.899280575941751,13,14,capitalisation
Australia,1952,-0.02003380258291476,0.09026236786078315,-0.02308429474624052,0.8920606609217285,13,14,capitalisation
Australia,1953,0.04028392759879207,0.06469423308353277,0.04078019484534856,0.8920606609217285,14,15,capitalisation
Australia,1954,0.4836147441208303,0.4670136212712037,0.4800362094694055,0.899280575941751,13,14,capitalisation
Australia,1955,0.23291777703215444,0.25400295075385515,0.2316247790643282,0.8940545381262892,14,15,capitalisation
Australia,1956,-0.008083382422197527,0.025793445006086026,-0.00788017068295388,0.899280575941751,14,15,capitalisation
Australia,1957,-0.09251824228483974,-0.0900714202375437,-0.09024243331564075,0.8924587245813981,14,15,capitalisation
Australia,1958,0.3167571423821287,0.2949629414187798,0.31522366931350176,0.8940545381262892,14,15,capitalisation
Australia,1959,0.22160552463860594,0.23086206728309738,0.22377619513537983,0.8948545865299573,14,15,capitalisation
Australia,1960,0.009209689356246775,0.02852119127149881,0.007683938921017042,0.8936550499500042,14,15,capitalisation
Australia,1961,0.1715438201692756,0.1758253320099053,0.1704044919135359,0.8924587245813981,14,15,capitalisation
Australia,1962,-0.08168173704617021,-0.1044262167473459,-0.08016533998257591,0.8940545381262892,14,15,capitalisation
Australia,1963,0.16299181898125537,0.1366878240637917,0.16454336055111152,0.8960573484724516,14,15,capitalisation
Australia,1964,0.061556807850678075,0.0619891171664364,0.06082684921675696,0.8976660690269841,14,15,capitalisation
Australia,1965,0.0481190339181603,0.06685254822238548,0.045471115061646916,0.8940545381262892,14,15,capitalisation
Australia,1966,-0.08547740877525045,-0.09330869837742978,-0.08360745066060138,0.8976660682226211,14,15,capitalisation
Australia,1967,0.14061253245850902,0.17856617744545755,0.14429550274820424,0.8920606609206608,14,15,capitalisation
Australia,1968,0.18407149749316942,0.15635832368940009,0.18666160841122137,0.9009009009009008,14,15,capitalisation
Australia,1969,-0.08556711638066195,-0.09813257559293127,-0.08206985809643452,0.8944543836265245,14,15,capitalisation
Australia,1970,-0.034026408845458156,-0.05443885622774817,-0.03760303205677218,0.8968609873514449,14,15,capitalisation
Australia,1971,0.06395981749976931,0.1011552294080928,0.05946832184965967,0.8396305632574564,14,15,capitalisation
Australia,1972,0.09657249837842308,0.19427601035225284,0.10037945317382824,0.7843137261053441,14,15,capitalisation
Australia,1973,-0.2603340118137958,-0.15073213408682862,-0.26150874671650837,0.6720430112043301,14,15,capitalisation
Australia,1974,-0.26344411036131465,-0.3381233765262629,-0.2652022043347382,0.7535795032054102,14,15,capitalisation
Australia,1975,0.2039401533274674,0.21222017960108658,0.20616023748228574,0.7954816647804325,14,15,capitalisation
Australia,1976,0.15646148998697962,0.06452136779506773,0.15217001549913367,0.9204712812960235,14,15,capitalisation
Australia,1977,-0.09715335125964064,-0.06665911449430267,-0.09560281092676037,0.8761170500053592,14,15,capitalisation
Australia,1978,0.07298981925192094,0.02777228402071703,0.07421442665098987,0.8691873106207626,14,15,capitalisation
Australia,1979,0.06592653316225361,0.0517717155249692,0.06942818097746306,0.9045680695654166,14,15,capitalisation
Australia,1980,0.07826344991612699,0.11732052093030862,0.0851927767619598,0.846955196787461,14,15,capitalisation
