country,year,international_equity_real,international_equity_real_constant_real_fx,world_equity_real_resident,resident_xrusd,markets,world_markets,weight_source
Australia,1871,0.3790877510969104,0.3349758893104634,0.37211709807254034,0.3691464495849117,4,5,PIB proxy
Australia,1872,0.14829934414698287,0.06093411149437901,0.14829934414698287,0.36923880927016545,6,6,capitalisation
Australia,1873,-0.024223968892840952,-0.04004761293648052,-0.021795970056542546,0.3624047757834013,8,9,PIB proxy
Australia,1874,-0.004534152047338091,0.056580993016561484,-0.002446603867920172,0.37222345512135085,9,10,PIB proxy
Australia,1875,0.0116459855811466,0.0967537291281531,0.012805805960070193,0.3609256158331147,9,10,PIB proxy
Australia,1876,0.006509614924304241,0.006922401368696374,0.008032161580333597,0.3720217079912038,9,10,PIB proxy
Australia,1877,0.04160404249758565,0.07140058464259483,0.042239686913819297,0.39991067984815576,7,8,capitalisation
Australia,1878,0.09211945243743136,0.10880893454895105,0.08953922415822202,0.41257288115076557,9,10,PIB proxy
Australia,1879,0.3155901633742857,0.3012240182239977,0.31282977332175044,0.4150882566293221,9,10,PIB proxy
Australia,1880,0.2126624559676411,0.1581354082842839,0.2126624559676411,0.41252253898543567,8,8,capitalisation
Australia,1881,0.18088402403932013,0.16323495014281386,0.1793023350816143,0.415874878239073,9,10,PIB proxy
Australia,1882,-0.04023698477462401,-0.021876415999628078,-0.038191889367541476,0.4124365263221646,9,10,PIB proxy
Australia,1883,-0.09085934716561594,0.019633796798182113,-0.08674187240168485,0.4131763213548113,9,10,PIB proxy
Australia,1884,0.029823629538309193,0.05913841159456636,0.029820948524153623,0.4137967507243865,7,8,capitalisation
Australia,1885,0.09619536850352994,0.12049722398246249,0.09650320885379693,0.41309466050859567,9,10,PIB proxy
Australia,1886,0.07765499891903516,0.09682568180636081,0.07671206044425305,0.4121250083411612,9,10,PIB proxy
Australia,1887,0.03989455899432848,0.003827489230478681,0.04496563564599021,0.41447168205588253,10,11,PIB proxy
Australia,1888,0.12732856161470463,0.07685889059961312,0.13104205464466845,0.4129029645341571,10,11,PIB proxy
Australia,1889,0.10625137037161192,0.10058723217732304,0.10399133941657301,0.4117739386444417,10,11,PIB proxy
Australia,1890,-0.024226213487299142,-0.03264428518929332,-0.023457178521147704,0.4127704266670076,10,11,PIB proxy
Australia,1891,0.06990149079096675,0.04917744004407418,0.06685026845420383,0.41335053898449514,10,11,PIB proxy
Australia,1892,0.06264681888284529,0.0711454776639631,0.06298370791211938,0.4123145091878488,10,11,PIB proxy
Australia,1893,-0.006195271014232118,-0.003983300368497429,-0.006410464101114566,0.4131714963323109,10,11,PIB proxy
Australia,1894,0.14726586995551694,0.09525557717834533,0.1478113166587447,0.4124115766942889,10,11,PIB proxy
Australia,1895,0.1709353741737194,0.10476834878897559,0.17285797634713584,0.41104284708261263,10,11,PIB proxy
Australia,1896,0.09955060294734963,0.08507581225548573,0.09833518429089061,0.4130498688942322,10,11,PIB proxy
Australia,1897,0.08177292071725395,0.07720555722055225,0.08182306777335402,0.4129649029197701,11,12,PIB proxy
Australia,1898,0.1341620158414032,0.1043736986564442,0.13475977945607576,0.4162815219700577,11,12,PIB proxy
Australia,1899,0.009005107596489426,0.05840878563916705,0.009424439039819044,0.4155174733995985,9,10,capitalisation
Australia,1900,0.07510079419925808,0.06349673431364902,0.0753056259201339,0.4155043641520236,10,11,capitalisation
Australia,1901,0.051766682582885304,0.06566174793898641,0.050311487387416864,0.4150841148947982,14,15,PIB proxy
Australia,1902,-0.012024586053710706,0.04845422690009049,-0.011474503096957078,0.4152713811266021,12,13,capitalisation
Australia,1903,-0.053293480385162906,-0.050378846397646,-0.05197721460668181,0.4155164907043526,12,13,capitalisation
Australia,1904,0.23894785103554406,0.1812398965754413,0.23822607304582988,0.4146392388698032,12,13,capitalisation
Australia,1905,0.1417277231290086,0.1396075022193877,0.14175260412154822,0.41488145716796226,12,13,capitalisation
Australia,1906,0.09364280598395314,0.08524522032007323,0.09350435532659418,0.4149464723511342,14,15,PIB proxy
Australia,1907,-0.13121793785463431,-0.1469858761010133,-0.1296048559301346,0.41196953439646916,12,13,capitalisation
Australia,1908,0.1513455568962725,0.18534927678183932,0.15123984716111272,0.41480299208149884,12,13,capitalisation
Australia,1909,0.13077366829971515,0.15705277209100044,0.13068501614784656,0.41355515351010147,12,13,capitalisation
Australia,1910,-0.02464357751852686,-0.03764208353213111,-0.02412103229637874,0.41395996734233387,12,13,capitalisation
Australia,1911,-0.022197057556172628,0.04042961621842037,-0.021819704011315832,0.4146558862439013,12,13,capitalisation
Australia,1912,-0.018436768032504602,0.04001232485898156,-0.018302451676615483,0.41416473580788926,12,13,capitalisation
Australia,1913,-0.028497530254488757,-0.04565153797336737,-0.0275591129746785,0.41384943971647487,13,14,capitalisation
Australia,1914,-0.09915265401286244,-0.052753210961462314,-0.09802175903657495,0.40966984169970594,14,15,capitalisation
Australia,1915,0.05611193243031676,0.07521156329734048,0.054688865419110666,0.4272693557290839,12,13,capitalisation
Australia,1916,0.07025191055213265,-0.01983130125164538,0.06925852683439127,0.42591712884425026,12,13,capitalisation
Australia,1917,-0.13755292262873708,-0.2517785424681596,-0.13598488586598823,0.42450906625965557,12,13,capitalisation
Australia,1918,0.07977805792283621,-0.05653726616600327,0.07897380463217663,0.424438120878588,11,12,capitalisation
Australia,1919,0.011643931073549219,0.05369589051914034,0.012155691925191947,0.4573750556384178,11,12,capitalisation
Australia,1920,-0.11480171550929774,-0.2793383798599994,-0.11275142904632662,0.5594117322889597,11,12,capitalisation
Australia,1921,0.1454098936516215,0.22653735808035408,0.14743103033875782,0.5297549951485833,12,13,capitalisation
Australia,1922,0.11272665942537907,0.4142820324606179,0.11383823068457821,0.45266236183674174,13,14,capitalisation
Australia,1923,0.9976218316179195,0.23850368772913272,0.9907553129738063,0.435687530180402,13,14,capitalisation
Australia,1924,0.1611326190035005,0.17032424824287165,0.1608057398459748,0.44232046227806776,12,13,capitalisation
Australia,1925,0.1246792414015625,0.1628042502342717,0.12504822834375284,0.41447141948415456,13,14,capitalisation
Australia,1926,0.14866942305992192,0.16179763333653763,0.14859905614623337,0.41257451845657517,12,13,capitalisation
Australia,1927,0.25186054512528666,0.2611253037430413,0.25043999071731915,0.41433834413409815,12,13,capitalisation
Australia,1928,0.3038316710329012,0.32551050217976163,0.30291762279902446,0.4151414263418,12,13,capitalisation
Australia,1929,-0.021987812387944894,-0.0739083630596546,-0.022185545399873274,0.4365832221661474,13,14,capitalisation
Australia,1930,0.05394194336056968,-0.18400268872440567,0.05235285257096289,0.5307128194828947,13,14,capitalisation
Australia,1931,-0.30623422202054174,-0.2936954983501119,-0.3036661160448131,0.5523449889357013,13,14,capitalisation
Australia,1932,0.2764636036552732,0.10328769025508182,0.27667534364322277,0.7169864074720653,13,14,capitalisation
Australia,1933,0.23730364679979554,0.3899843977429765,0.23749136946142135,0.5933163830278935,13,14,capitalisation
Australia,1934,-0.044237118509972695,0.015462585287510572,-0.04131352880570782,0.5002905825283235,13,14,capitalisation
Australia,1935,0.280111086717467,0.27049748976867527,0.27779758839242485,0.5122578566716348,13,14,capitalisation
Australia,1936,0.21952412435979562,0.2625100582212728,0.21894316012102677,0.504946822636257,13,14,capitalisation
Australia,1937,-0.2399254616004649,-0.23625187031005054,-0.23758671643280516,0.5077324401141773,13,14,capitalisation
Australia,1938,0.02886231726590549,0.05330681912588742,0.028173265373677925,0.5134151834605164,13,14,capitalisation
Australia,1939,0.07320676664997006,0.023152691771300325,0.07260960040943143,0.5659629860207143,14,15,capitalisation
Australia,1940,0.0363218361284281,-0.08679909475882466,0.035538515005254734,0.655393891728929,12,13,capitalisation
Australia,1941,-0.03866904803997395,-0.0515646511656762,-0.03954252003002945,0.6225099601593626,12,13,capitalisation
Australia,1942,0.05227500871710733,0.03966261254088235,0.05303550260332002,0.6220839813374806,12,13,capitalisation
Australia,1943,0.17015358333670672,0.10845035108376516,0.169193677156815,0.6198090987975704,12,13,capitalisation
Australia,1944,0.12782168501249624,0.10077509328078361,0.1272836540491329,0.6195786864931846,12,13,capitalisation
Australia,1945,0.18107557024365817,0.169499976089449,0.18049618384940702,0.6211180124223602,11,12,capitalisation
Australia,1946,-0.14084818801047538,-0.05678820662814754,-0.13826775546534953,0.6223937262712392,11,12,capitalisation
Australia,1947,-0.11647103174653639,-0.111837376706087,-0.11409954675738676,0.6230529595015576,12,13,capitalisation
Australia,1948,-0.06367377026765608,-0.10163445427790263,-0.06353565672209804,0.6203473045260441,12,13,capitalisation
Australia,1949,0.3736735625705381,0.07913411378409946,0.3670533974457648,0.892856999892857,12,12,capitalisation
Australia,1950,0.12418978396506342,0.18911217351199502,0.12558752067470258,0.892856999892857,13,14,capitalisation
Australia,1951,0.026736417075220675,0.1392058862535106,0.022517859677431584,0.899280575941751,13,14,capitalisation
Australia,1952,-0.020190641893027328,0.09027409865188846,-0.023240260766837606,0.8920606609217285,13,14,capitalisation
Australia,1953,0.04076598011044785,0.06523250524564621,0.041256991668625176,0.8920606609217285,14,15,capitalisation
Australia,1954,0.48347015583579167,0.46671054238596454,0.4798929292973133,0.899280575941751,13,14,capitalisation
Australia,1955,0.23353050678640552,0.25479423604659185,0.23223178817405654,0.8940545381262892,14,15,capitalisation
Australia,1956,-0.008333142474345245,0.02546091797976091,-0.00812760802374235,0.899280575941751,14,15,capitalisation
Australia,1957,-0.0926356968623454,-0.09019863968792888,-0.09035816752361714,0.8924587245813981,14,15,capitalisation
Australia,1958,0.31698913330671874,0.2951795958616431,0.3154526719632931,0.8940545381262892,14,15,capitalisation
Australia,1959,0.22195774033816318,0.23117259436111895,0.22412507450104413,0.8948545865299573,14,15,capitalisation
Australia,1960,0.00932216471127889,0.028532464837611286,0.007794702920549179,0.8936550499500042,14,15,capitalisation
Australia,1961,0.17148220536777803,0.1757476366899117,0.17034354803825225,0.8924587245813981,14,15,capitalisation
Australia,1962,-0.08134615249498456,-0.10409420564336597,-0.07983333098638379,0.8940545381262892,14,15,capitalisation
Australia,1963,0.16293584066596245,0.13660762097109216,0.16448833413322705,0.8960573484724516,14,15,capitalisation
Australia,1964,0.06161629133313684,0.0620138634081407,0.06088516541873035,0.8976660690269841,14,15,capitalisation
Australia,1965,0.04812474733430916,0.06685990898242655,0.045476106991978904,0.8940545381262892,14,15,capitalisation
Australia,1966,-0.08545917893684063,-0.09329542273183433,-0.08358899992137758,0.8976660682226211,14,15,capitalisation
Australia,1967,0.1405590262232017,0.17866178908514063,0.1442441050952381,0.8920606609206608,14,15,capitalisation
Australia,1968,0.18421308792139435,0.15646210246622194,0.186801164608966,0.9009009009009008,14,15,capitalisation
Australia,1969,-0.08562137015595206,-0.09818697951682849,-0.08212191420549331,0.8944543836265245,14,15,capitalisation
Australia,1970,-0.03421286653525546,-0.054545619050073685,-0.037785727989868234,0.8968609873514449,14,15,capitalisation
Australia,1971,0.064317884580259,0.10157533811730844,0.0598159949021384,0.8396305632574564,14,15,capitalisation
Australia,1972,0.09697438502253397,0.1947287650011836,0.10077392703763799,0.7843137261053441,14,15,capitalisation
Australia,1973,-0.26032681022779425,-0.15069565990527134,-0.26150149479385254,0.6720430112043301,14,15,capitalisation
Australia,1974,-0.26317545573340584,-0.3379562271754804,-0.2649385647352154,0.7535795032054102,14,15,capitalisation
Australia,1975,0.20400595083720896,0.21223342346645083,0.20622419590652608,0.7954816647804325,14,15,capitalisation
Australia,1976,0.15602168062348798,0.06412043667747681,0.15173966588454935,0.9204712812960235,14,15,capitalisation
Australia,1977,-0.09713823673888178,-0.06660815688354887,-0.09558804295645729,0.8761170500053592,14,15,capitalisation
Australia,1978,0.07306129508967896,0.02784869181458175,0.0742846458484605,0.8691873106207626,14,15,capitalisation
Australia,1979,0.06577765362024723,0.05155820261662988,0.06928105453154432,0.9045680695654166,14,15,capitalisation
Australia,1980,0.07840594258463107,0.11744242543139966,0.08533318821914926,0.846955196787461,14,15,capitalisation
