baseline ACO 33/67 {'strategy': 'ACO 33/67', 'gross': 1.0, 'annual_volatility': 0.25282649424998765, 'ruin_probability': 0.0698, 'equivalent_savings_rate': 0.09999999403953552, 'matched_failure': 0.0698, 'matched_failure_at_equivalent_saving': 0.0698}
baseline Proportional equal volatility {'strategy': 'Proportional equal volatility', 'gross': 1.6628028302811098, 'annual_volatility': 0.25282649424998765, 'ruin_probability': 0.0225, 'equivalent_savings_rate': 0.0634983479976654, 'matched_failure': 0.0318, 'matched_failure_at_equivalent_saving': 0.131}
baseline Risk parity equal volatility {'strategy': 'Risk parity equal volatility', 'gross': 2.6488038711061495, 'annual_volatility': 0.2528264942499876, 'ruin_probability': 0.0188, 'equivalent_savings_rate': 0.04178151488304138, 'matched_failure': 0.0217, 'matched_failure_at_equivalent_saving': 0.1686}
baseline Stocks and MF equal volatility {'strategy': 'Stocks and MF equal volatility', 'gross': 1.3218984247519163, 'annual_volatility': 0.25282649424998765, 'ruin_probability': 0.0209, 'equivalent_savings_rate': 0.052157193422317505, 'matched_failure': 0.0082, 'matched_failure_at_equivalent_saving': 0.0587}
post1970 ACO 33/67 {'strategy': 'ACO 33/67', 'gross': 1.0, 'annual_volatility': 0.1724157579755149, 'ruin_probability': 0.0667, 'equivalent_savings_rate': 0.09999999403953552, 'matched_failure': 0.0667, 'matched_failure_at_equivalent_saving': 0.0667}
post1970 Proportional equal volatility {'strategy': 'Proportional equal volatility', 'gross': 1.6628028302811098, 'annual_volatility': 0.14305462799172103, 'ruin_probability': 0.0004, 'equivalent_savings_rate': 0.045559078454971313, 'matched_failure': 0.0028, 'matched_failure_at_equivalent_saving': 0.1166}
post1970 Risk parity equal volatility {'strategy': 'Risk parity equal volatility', 'gross': 2.6488038711061495, 'annual_volatility': 0.16810082125985423, 'ruin_probability': 0.0, 'equivalent_savings_rate': 0.025685757398605347, 'matched_failure': 0.0009, 'matched_failure_at_equivalent_saving': 0.1377}
post1970 Stocks and MF equal volatility {'strategy': 'Stocks and MF equal volatility', 'gross': 1.3218984247519163, 'annual_volatility': 0.16247077851653727, 'ruin_probability': 0.005, 'equivalent_savings_rate': 0.04725036025047302, 'matched_failure': 0.0006, 'matched_failure_at_equivalent_saving': 0.0578}
source_italy1942 ACO 33/67 {'strategy': 'ACO 33/67', 'gross': 1.0, 'annual_volatility': 0.1816584367122938, 'ruin_probability': 0.0719, 'equivalent_savings_rate': 0.09999999403953552, 'matched_failure': 0.0719, 'matched_failure_at_equivalent_saving': 0.0719}
source_italy1942 Proportional equal volatility {'strategy': 'Proportional equal volatility', 'gross': 1.6628028302811098, 'annual_volatility': 0.16976090157000964, 'ruin_probability': 0.0214, 'equivalent_savings_rate': 0.06281790137290955, 'matched_failure': 0.0305, 'matched_failure_at_equivalent_saving': 0.1384}
source_italy1942 Risk parity equal volatility {'strategy': 'Risk parity equal volatility', 'gross': 2.6488038711061495, 'annual_volatility': 0.1956569630568368, 'ruin_probability': 0.0173, 'equivalent_savings_rate': 0.04023435711860657, 'matched_failure': 0.0208, 'matched_failure_at_equivalent_saving': 0.1759}
source_italy1942 Stocks and MF equal volatility {'strategy': 'Stocks and MF equal volatility', 'gross': 1.3218984247519163, 'annual_volatility': 0.1900245028825747, 'ruin_probability': 0.024, 'equivalent_savings_rate': 0.05225291848182678, 'matched_failure': 0.0076, 'matched_failure_at_equivalent_saving': 0.0603}
