spread_100bp ACO 33/67 {'strategy': 'ACO 33/67', 'gross': 1.0, 'annual_volatility': 0.25282649424998765, 'ruin_probability': 0.0698, 'equivalent_savings_rate': 0.09999999403953552, 'matched_failure': 0.0698, 'matched_failure_at_equivalent_saving': 0.0698}
spread_100bp Proportional equal volatility {'strategy': 'Proportional equal volatility', 'gross': 1.6628028302811098, 'annual_volatility': 0.25282649424998765, 'ruin_probability': 0.0262, 'equivalent_savings_rate': 0.07208356261253357, 'matched_failure': 0.0551, 'matched_failure_at_equivalent_saving': 0.1422}
spread_100bp Risk parity equal volatility {'strategy': 'Risk parity equal volatility', 'gross': 2.6488038711061495, 'annual_volatility': 0.25282649424998765, 'ruin_probability': 0.0306, 'equivalent_savings_rate': 0.05750986933708191, 'matched_failure': 0.0644, 'matched_failure_at_equivalent_saving': 0.1853}
spread_100bp Stocks and MF equal volatility {'strategy': 'Stocks and MF equal volatility', 'gross': 1.3218984247519163, 'annual_volatility': 0.25282649424998765, 'ruin_probability': 0.0231, 'equivalent_savings_rate': 0.05547419190406799, 'matched_failure': 0.0099, 'matched_failure_at_equivalent_saving': 0.0624}
spread_200bp ACO 33/67 {'strategy': 'ACO 33/67', 'gross': 1.0, 'annual_volatility': 0.25282649424998765, 'ruin_probability': 0.0698, 'equivalent_savings_rate': 0.09999999403953552, 'matched_failure': 0.0698, 'matched_failure_at_equivalent_saving': 0.0698}
spread_200bp Proportional equal volatility {'strategy': 'Proportional equal volatility', 'gross': 1.6628028302811098, 'annual_volatility': 0.2528264942499876, 'ruin_probability': 0.0356, 'equivalent_savings_rate': 0.08662334084510803, 'matched_failure': 0.1087, 'matched_failure_at_equivalent_saving': 0.1576}
spread_200bp Risk parity equal volatility {'strategy': 'Risk parity equal volatility', 'gross': 2.6488038711061495, 'annual_volatility': 0.25282649424998765, 'ruin_probability': 0.0665, 'equivalent_savings_rate': 0.0927799642086029, 'matched_failure': 0.184, 'matched_failure_at_equivalent_saving': 0.2029}
spread_200bp Stocks and MF equal volatility {'strategy': 'Stocks and MF equal volatility', 'gross': 1.3218984247519163, 'annual_volatility': 0.25282649424998765, 'ruin_probability': 0.0264, 'equivalent_savings_rate': 0.060588330030441284, 'matched_failure': 0.0123, 'matched_failure_at_equivalent_saving': 0.0681}
spread_300bp ACO 33/67 {'strategy': 'ACO 33/67', 'gross': 1.0, 'annual_volatility': 0.25282649424998765, 'ruin_probability': 0.0698, 'equivalent_savings_rate': 0.09999999403953552, 'matched_failure': 0.0698, 'matched_failure_at_equivalent_saving': 0.0698}
spread_300bp Proportional equal volatility {'strategy': 'Proportional equal volatility', 'gross': 1.6628028302811098, 'annual_volatility': 0.25282649424998765, 'ruin_probability': 0.051, 'equivalent_savings_rate': 0.10453847050666809, 'matched_failure': 0.1898, 'matched_failure_at_equivalent_saving': 0.1709}
spread_300bp Risk parity equal volatility {'strategy': 'Risk parity equal volatility', 'gross': 2.6488038711061495, 'annual_volatility': 0.25282649424998765, 'ruin_probability': 0.1278, 'equivalent_savings_rate': 0.15761348605155945, 'matched_failure': 0.3748, 'matched_failure_at_equivalent_saving': 0.2098}
spread_300bp Stocks and MF equal volatility {'strategy': 'Stocks and MF equal volatility', 'gross': 1.3218984247519163, 'annual_volatility': 0.25282649424998765, 'ruin_probability': 0.0306, 'equivalent_savings_rate': 0.0662144124507904, 'matched_failure': 0.0169, 'matched_failure_at_equivalent_saving': 0.0746}
